"deviceWidth","deviceHeight","touchX","touchY"
"320","50","0.7787","0.2497"
"","","",""
"320","50","0.9688","0.9200"
"320","50","0.9063","0.3400"
"320","50","0.5406","0.0800"
"","","",""
"320","50","0.9094","0.1000"
"","","",""
"320","50","0.1528","0.6133"
"320","50","0.8938","0.9600"
"320","50","0.5563","0.4000"
"320","50","0.8652","0.8249"
"","","",""
"320","50","0.5211","0.2731"
"320","50","0.5109","0.2596"
"320","50","0.0094","0.7400"
"320","50","0.4992","0.3280"
"","","",""
"320","51","0.5531","0.0000"
"320","50","0.1607","0.0246"
"320","50","0.6412","0.3935"
"320","50","0.7553","0.2596"
"320","50","0.8250","0.3200"
"320","50","0.0938","0.9600"
"320","50","0.7568","0.2497"
"320","50","0.6844","0.1800"
"320","50","0.7375","0.6600"
"320","50","0.7469","0.2000"
"320","50","0.9594","0.2600"
"320","50","0.0707","0.9734"
"","","",""
"320","50","0.0998","0.5534"
"320","50","0.6438","0.4400"
"320","50","0.9437","0.1600"
"","","",""
"320","50","0.7237","0.9582"
"","","",""
"320","50","0.7594","0.5400"
"","","",""
"320","50","0.0156","0.9600"
"320","50","0.4270","0.0834"
"320","50","0.0208","0.6013"
"600","1024","0.9700","0.0488"
"","","",""
"320","50","0.5398","0.4735"
"320","50","0.4833","0.3333"
"320","51","0.4688","0.4314"
"320","50","0.5005","0.6002"
"","","",""
"320","50","0.8250","0.9400"
"320","50","0.5718","0.2844"
"","","",""
"320","50","0.4938","0.4800"
"320","50","0.7077","0.1456"
"320","50","0.8167","0.6933"
"","","",""
"","","",""
"320","50","0.4094","0.9800"
"320","50","0.5101","0.5711"
"320","50","0.7754","0.5067"
"320","50","0.8688","0.0400"
"320","50","0.9173","0.0287"
"320","50","0.9781","0.6200"
"320","50","0.8562","0.9600"
"","","",""
"","","",""
"320","50","0.7719","0.4800"
"320","50","0.1031","0.3800"
"320","50","0.9192","0.0300"
"320","50","0.8646","0.5733"
"320","50","0.7562","0.2200"
"320","50","0.9709","0.1610"
"320","50","0.8500","0.5200"
"","","",""
"320","50","0.6299","0.2809"
"","","",""
"320","51","0.2875","0.7059"
"360","640","0.5493","0.4258"
"320","50","0.4313","0.2200"
"320","50","0.5578","0.9700"
"320","50","0.9971","0.3930"
"320","50","0.9906","0.5800"
"320","50","0.5460","0.3413"
"320","50","0.6400","0.6986"
"320","50","0.2313","0.1200"
"320","51","0.9750","0.2353"
"320","50","0.2219","0.2000"
"320","50","0.7875","0.4800"
"","","",""
"","","",""
"320","50","0.5114","0.0544"
"","","",""
"320","50","0.9459","0.4040"
"320","50","0.4072","0.5903"
"320","50","0.9438","0.5019"
"320","50","0.5406","0.5800"
"320","50","0.2143","0.0018"
"320","51","0.6031","0.9608"
"","","",""
"320","50","0.1437","0.5000"
"","","",""
"","","",""
"320","50","0.5930","0.0330"
"","","",""
"","","",""
"320","50","0.8875","0.9200"
"","","",""
"320","50","0.3156","0.5000"
"320","50","0.4449","0.5630"
"320","50","0.3781","0.3200"
"320","50","0.7271","0.5667"
"320","50","0.8906","0.8400"
"","","",""
"320","50","0.5062","0.5600"
"320","50","0.0406","0.3200"
"320","50","0.5177","0.7330"
"320","50","0.6084","0.4834"
"600","1024","0.1667","0.0488"
"320","50","0.7750","0.4800"
"320","50","0.3125","0.1000"
"","","",""
"320","50","0.8969","0.4400"
"320","50","0.5807","0.0466"
"320","50","0.3875","0.4200"
"320","50","0.9437","0.2000"
"320","50","0.6240","0.3205"
"320","50","0.3346","0.1198"
"320","50","0.4261","0.8777"
"320","50","0.0125","0.3000"
"320","51","0.9125","0.3922"
"320","50","0.8075","0.2097"
"320","50","0.0340","0.4389"
"320","50","0.4657","0.4016"
"320","50","0.9064","0.5054"
"320","50","0.6272","0.3981"
"320","50","0.7319","0.6591"
"320","50","0.5398","0.8601"
"320","50","0.6195","0.5605"
"320","50","0.8812","0.6800"
"320","50","0.4540","0.0715"
"","","",""
"320","50","0.5148","0.6180"
"320","50","0.7417","0.1067"
"320","50","0.0728","0.9734"
"320","50","0.7175","0.5189"
"320","50","0.5250","0.6400"
"320","50","0.4609","0.1100"
"320","50","0.8750","0.1600"
"320","50","0.8005","0.6947"
"320","50","0.9187","0.2400"
"320","50","0.4033","0.9720"
"320","50","0.9375","0.9600"
"","","",""
"","","",""
"320","50","0.9531","0.0400"
"","","",""
"320","50","0.5617","0.6726"
"320","50","0.3125","0.1600"
"320","50","0.4281","0.2400"
"320","50","0.4656","0.0600"
"320","50","0.4531","0.3400"
"320","50","0.0563","0.0200"
"320","50","0.1148","0.5741"
"","","",""
"320","50","0.5125","0.9200"
"320","50","0.9031","0.0600"
"320","50","0.9127","0.6210"
"320","50","0.4625","0.0400"
"","","",""
"320","50","0.9938","0.3730"
"320","50","0.9863","0.0100"
"","","",""
"","","",""
"320","50","0.8906","0.9000"
"","","",""
"320","51","0.6502","0.1031"
"","","",""
"320","50","0.9448","0.4733"
"320","50","0.0531","0.6400"
"320","50","0.9068","0.5465"
"320","51","0.8250","0.4510"
"320","50","0.9187","0.8000"
"320","50","0.2598","0.4571"
"320","50","0.2557","0.4508"
"320","50","0.8472","0.4404"
"320","50","0.0203","0.3900"
"","","",""
"","","",""
"320","50","0.1182","0.9447"
"","","",""
"320","51","0.5205","0.1895"
"320","50","0.9938","0.4600"
"320","50","0.7375","0.7600"
"320","50","0.8935","0.4601"
"","","",""
"320","50","0.7125","0.9800"
"320","50","0.9286","0.2497"
"320","50","0.6687","0.9600"
"320","51","0.4063","0.0980"
"320","50","0.6625","0.1200"
"","","",""
"320","50","0.9958","0.9734"
"320","50","0.5102","0.9544"
"360","640","0.1042","0.0367"
"320","50","0.1031","0.9600"
"","","",""
"","","",""
"320","50","0.0137","0.0195"
"320","50","0.5617","0.3695"
"360","640","0.5312","0.8228"
"320","50","0.8627","0.6703"
"320","50","0.6594","0.0000"
"320","50","0.8500","0.8000"
"","","",""
"320","50","0.7083","0.4667"
"","","",""
"320","50","0.9313","0.5000"
"320","50","0.4625","0.5600"
"320","50","0.3563","0.2800"
"","","",""
"","","",""
"","","",""
"320","50","0.9161","0.0100"
"320","50","0.9229","0.4267"
"320","50","0.8753","0.9744"
"320","50","0.7319","0.9501"
"320","50","0.3875","0.1800"
"320","50","0.6875","0.9400"
"320","50","0.5845","0.6259"
"320","51","0.0781","0.0392"
"320","50","0.2271","0.8133"
"320","50","0.4368","0.0615"
"","","",""
