"deviceWidth","deviceHeight","touchX","touchY"
"320","534","0.7562","0.8015"
"","","",""
"","","",""
"360","640","0.5296","0.7120"
"","","",""
"360","640","0.9444","0.0563"
"360","592","0.9653","0.2397"
"","","",""
"360","592","0.5090","0.7342"
"","","",""
"","","",""
"320","534","0.7048","0.7531"
"","","",""
"601","962","0.3012","0.1156"
"600","1024","0.6450","0.2441"
"600","1024","0.0200","0.9648"
"","","",""
"360","640","0.6514","0.7789"
"","","",""
"","","",""
"360","640","0.4259","0.6521"
"360","592","0.4189","0.6735"
"600","1024","0.2883","0.7520"
"360","640","0.2802","0.9820"
"360","640","0.1387","0.9930"
"","","",""
"360","640","0.5778","0.5516"
"","","",""
"","","",""
"360","640","0.9653","0.0727"
"","","",""
"","","",""
"360","592","0.3889","0.6959"
"","","",""
"320","522","0.5426","0.7539"
"360","640","0.5014","0.6414"
"","","",""
"","","",""
"","","",""
"","","",""
"360","640","0.1042","0.1227"
"320","533","0.5437","0.8349"
"320","534","0.5491","0.9450"
"320","480","0.0719","0.9958"
"","","",""
"","","",""
"","","",""
"360","640","0.9611","0.0484"
"800","1280","0.9750","0.0258"
"800","1232","0.9563","0.0089"
"600","1024","0.9967","0.0313"
"","","",""
"","","",""
"360","640","0.8606","0.8503"
"320","522","0.9781","0.0690"
"360","640","0.6361","0.4156"
"","","",""
"","","",""
"360","640","0.2000","0.1891"
"320","534","0.6736","0.7145"
"601","962","0.1980","0.8929"
"320","534","0.5925","0.6845"
"360","640","0.9611","0.0500"
"","","",""
"320","533","0.5563","0.7205"
"320","534","0.5125","0.6891"
"","","",""
"","","",""
"360","640","0.5889","0.9234"
"","","",""
"","","",""
"360","640","0.5528","0.6484"
"600","1024","0.7633","0.3633"
"800","1280","0.4200","0.9531"
"","","",""
"320","570","0.8594","0.7825"
"","","",""
"320","534","0.2225","0.0436"
"360","640","0.5333","0.5250"
"320","534","0.9687","0.1250"
"320","533","0.3063","0.9887"
"360","640","0.9556","0.0991"
"360","640","0.7750","0.5094"
"","","",""
"","","",""
"360","640","0.2344","0.9368"
"","","",""
"","","",""
"360","640","0.9584","0.0562"
"360","640","0.7083","0.4078"
"320","533","0.6813","0.6942"
"360","640","0.2000","0.9672"
"360","640","0.9519","0.0542"
"360","598","0.5882","0.6835"
"320","533","0.8625","0.4278"
"360","640","0.9626","0.0757"
"360","640","0.5907","0.1260"
"320","533","0.0906","0.1407"
"360","640","0.3000","0.8156"
"360","592","0.8944","0.0135"
"360","640","0.5917","0.6375"
"360","640","0.7333","0.1984"
"","","",""
"","","",""
"320","534","0.9344","0.0655"
"360","616","0.3556","0.7971"
"360","640","0.9667","0.0516"
"320","533","0.3156","0.1407"
"","","",""
"","","",""
"","","",""
"600","976","0.2810","0.5226"
"360","592","0.1526","0.0405"
"360","640","0.8759","0.7042"
"320","533","0.9750","0.4784"
"600","1024","0.8117","0.2930"
"360","640","0.5806","0.6703"
"360","640","0.6083","0.2641"
"360","640","0.9222","0.0000"
"","","",""
"360","592","0.0583","0.0903"
"","","",""
"320","534","0.7651","0.5810"
"","","",""
"","","",""
"360","640","0.8867","0.0264"
"360","640","0.5583","0.6828"
"360","640","0.5714","0.6487"
"","","",""
"360","640","0.3710","0.2874"
"","","",""
"360","640","0.1917","0.9109"
"360","640","0.7500","0.7422"
"","","",""
"","","",""
"320","480","0.2406","0.4625"
"640","1019","0.9391","0.0285"
"","","",""
"320","524","0.7796","0.6837"
"600","1024","0.5700","0.8164"
"360","592","0.8988","0.0414"
"","","",""
"360","640","0.6278","0.6094"
"360","640","0.5222","0.6406"
"360","640","0.5583","0.2281"
"","","",""
"","","",""
"360","592","0.9348","0.6659"
"600","976","0.3482","0.1323"
"360","640","0.9319","0.0570"
"360","640","0.3528","0.6391"
"600","1024","0.3183","0.5352"
"","","",""
"320","533","0.9437","0.9756"
"","","",""
"600","976","0.9415","0.0170"
"","","",""
"600","1024","0.0933","0.1465"
"360","640","0.5000","0.6734"
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"360","640","0.5639","0.5062"
"","","",""
"640","360","0.9115","0.0630"
"360","640","0.5365","0.7652"
"320","533","0.7750","0.6792"
"","","",""
"","","",""
"","","",""
"","","",""
"320","522","0.1156","0.1494"
"","","",""
"360","640","0.5361","0.9578"
"320","480","0.8906","0.0396"
"","","",""
"360","640","0.4639","0.8172"
"360","640","0.3551","0.3638"
"320","534","0.6133","0.4975"
"600","1024","0.9283","0.0029"
"","","",""
"","","",""
"360","640","0.4211","0.2805"
"","","",""
"360","640","0.4500","0.6656"
"","","",""
"768","1024","0.0117","0.6797"
"360","640","0.8738","0.9820"
"600","976","0.1647","0.5043"
"","","",""
"","","",""
"320","570","0.3763","0.5970"
"320","533","0.4750","0.6435"
"","","",""
"320","533","0.7125","0.7317"
"320","533","0.2437","0.8874"
"360","640","0.9074","0.0318"
"","","",""
"","","",""
"360","640","0.7472","0.7469"
"360","640","0.0402","0.1148"
"360","640","0.1956","0.1304"
"","","",""
"","","",""
"","","",""
"","","",""
"320","533","0.4562","0.7336"
"600","1024","0.9117","0.0313"
"","","",""
"","","",""
"320","480","0.1219","0.2167"
"320","534","0.8115","0.3077"
"320","533","0.5500","0.9043"
"800","1232","0.3337","0.7565"
"360","640","0.2178","0.9844"
"","","",""
"","","",""
"320","508","0.9875","0.0571"
"320","533","0.0844","0.7523"
"320","534","0.4948","0.4040"
"","","",""
"600","1024","0.6833","0.2217"
"320","480","0.0187","0.6771"
"","","",""
"320","570","0.5813","0.3667"
"","","",""
"","","",""
"600","976","0.7150","0.5318"
"","","",""
"","","",""
"","","",""
"800","1280","0.0050","0.2813"
"600","1024","0.2950","0.1270"
"360","592","0.3697","0.3870"
"320","534","0.4656","0.8025"
