"executed","deviceWidth","deviceHeight","touchX","touchY"
"1","320","480","0.37","0.16"
"1","360","592","1.02","0.13"
"1","360","640","0.84","0.43"
"1","360","640","0.37","0.69"
"1","360","592","0.29","0.03"
"1","320","570","0.83","0.40"
"1","360","640","0.77","0.91"
"1","360","640","0.72","0.58"
"1","600","1024","1.34","-0.56"
"1","320","533","0.69","0.76"
"1","360","592","0.11","0.13"
"1","320","533","0.05","0.11"
"1","320","534","0.58","0.63"
"1","360","640","0.12","-0.09"
"1","600","900","1.40","1.28"
"1","320","480","0.70","0.69"
"1","320","490","0.69","0.49"
"1","360","594","0.16","-0.07"
"1","360","592","0.95","-0.05"
"1","320","480","0.26","0.35"
"1","320","534","0.26","0.68"
"1","360","540","0.82","0.47"
"1","360","640","0.66","1.02"
"1","600","1024","1.40","-0.11"
"1","600","1024","-0.27","0.39"
"1","320","533","0.53","0.44"
"1","360","640","1.00","1.16"
"1","360","640","0.44","1.08"
"1","360","592","0.37","0.84"
"1","360","640","0.14","-0.10"
"1","360","640","1.02","1.06"
"1","320","533","0.34","0.72"
"1","320","534","0.62","0.93"
"1","320","427","0.64","0.56"
"1","320","480","0.11","1.00"
"1","360","640","0.28","1.11"
"1","360","640","0.96","-0.12"
"1","800","1280","-0.20","-0.72"
"1","320","490","0.87","0.11"
"1","360","592","0.41","0.54"
"1","600","976","1.38","-0.49"
"1","360","592","0.95","-0.06"
"1","360","640","0.66","0.94"
"1","320","533","0.66","0.73"
"1","320","522","0.27","0.69"
"1","360","640","0.27","0.36"
"1","800","1232","1.19","1.69"
"1","360","640","0.42","0.84"
"1","601","962","0.55","1.35"
"1","360","592","0.18","0.67"
"1","360","592","0.60","0.94"
"1","360","592","1.00","-0.08"
"1","320","480","0.45","0.95"
"1","320","533","0.54","0.45"
"1","360","640","0.57","1.04"
"1","360","592","0.33","1.00"
"1","360","592","0.48","0.77"
"1","360","592","1.01","-0.03"
"1","640","1019","1.49","-0.26"
"1","320","480","0.67","0.93"
"1","360","640","0.25","0.03"
"1","360","592","0.87","0.01"
"1","360","640","0.28","0.01"
"1","360","640","0.99","-0.05"
"1","600","976","0.39","0.07"
"1","360","592","-0.03","0.14"
"1","360","640","1.03","-0.06"
"","","","",""
"1","360","592","0.55","0.74"
"1","320","480","0.62","0.35"
"1","320","534","0.57","0.55"
"1","320","534","0.85","0.22"
"1","360","640","0.21","0.59"
"1","360","592","0.34","0.91"
"1","360","640","0.52","0.78"
"1","360","640","0.62","-0.04"
"1","600","976","0.43","0.86"
"1","360","640","0.61","0.73"
"1","600","1024","0.66","0.80"
"1","600","976","0.93","1.42"
"1","360","592","0.94","1.10"
"1","360","640","0.33","0.84"
"1","320","534","0.05","0.36"
"1","360","640","0.33","0.52"
"1","320","508","0.98","0.02"
"1","360","592","0.50","1.09"
"1","360","640","0.01","0.60"
"1","360","592","0.63","1.01"
"1","320","427","0.64","0.50"
"1","360","640","0.73","0.80"
"1","601","962","-0.00","-0.27"
"1","320","533","0.68","0.57"
"1","600","1024","1.08","0.24"
"1","360","640","0.57","0.94"
"1","360","640","0.52","0.81"
"1","360","591","1.05","1.06"
"1","360","592","0.26","0.88"
"1","360","592","0.01","0.85"
"1","360","640","0.02","-0.11"
"1","320","534","0.54","0.99"
"1","360","640","0.45","0.75"
"1","360","597","0.05","0.04"
"1","320","534","0.38","0.64"
"1","320","534","0.40","0.72"
"1","360","640","0.28","0.39"
"1","320","480","0.67","0.53"
"1","320","522","0.45","0.12"
"1","360","640","0.52","0.00"
"1","360","640","0.55","1.13"
"1","360","592","0.38","0.50"
"1","320","534","0.14","0.96"
"1","360","640","0.63","0.63"
"1","360","600","-0.05","0.71"
"1","320","533","0.41","0.23"
"1","320","534","0.44","0.06"
"1","360","592","0.63","1.05"
"1","320","570","0.27","0.57"
"1","320","533","0.82","0.69"
"1","360","640","0.44","0.80"
"1","360","568","1.03","-0.02"
"1","360","640","0.17","1.04"
"1","360","640","0.41","0.84"
"1","320","533","0.99","0.08"
"1","320","522","0.53","1.00"
"1","360","640","0.03","0.87"
"1","360","592","0.50","1.11"
"1","228","289","0.37","0.73"
"1","320","480","0.05","0.01"
"1","601","916","-0.31","0.95"
"1","320","533","0.53","0.24"
"1","360","640","0.96","1.09"
"1","360","592","0.83","0.65"
"1","360","592","-0.02","0.05"
"1","360","640","0.33","0.83"
"1","320","533","0.95","0.02"
"1","360","592","0.20","0.64"
"1","800","1280","0.31","0.95"
"1","360","640","0.96","-0.03"
"1","360","640","0.40","1.05"
"1","320","533","0.47","0.68"
"1","320","534","0.32","0.38"
"1","600","976","-0.40","-0.28"
"1","320","534","0.71","0.55"
"1","360","640","0.31","0.64"
"1","320","534","0.82","0.00"
"1","320","534","0.03","0.13"
"1","320","570","0.36","0.06"
"1","320","533","0.95","0.61"
"1","360","540","0.07","0.37"
"1","360","592","0.97","0.05"
"1","360","640","0.58","1.07"
"1","360","640","0.99","-0.10"
"1","320","480","0.90","0.59"
"1","320","480","0.50","0.10"
"1","360","592","0.72","0.01"
"1","600","976","0.39","1.03"
"1","320","480","0.51","0.11"
"1","360","640","0.58","1.08"
"1","360","592","0.50","0.71"
"1","320","570","0.52","0.78"
"1","360","592","-0.06","0.45"
"1","320","533","0.19","0.22"
"1","320","534","0.04","0.87"
"1","360","592","0.08","1.04"
"1","360","640","-0.02","0.36"
"1","320","480","0.15","0.19"
"1","360","640","0.46","0.66"
"1","360","592","0.91","0.59"
"1","600","1024","0.63","1.00"
"1","360","640","0.35","-0.00"
"1","360","592","0.09","-0.00"
"1","360","640","0.27","0.50"
"1","600","1024","1.43","-0.50"
"1","360","640","1.05","0.23"
"1","360","640","0.36","0.88"
"","","","",""
"1","320","570","0.54","0.47"
"1","640","1019","1.46","-0.51"
"1","360","640","0.69","0.45"
"1","600","1024","0.28","1.20"
"1","320","480","0.92","0.49"
"1","320","534","0.22","0.83"
"1","360","640","1.02","-0.10"
"1","360","640","0.88","-0.01"
"1","320","510","0.97","0.02"
"1","360","592","0.27","0.20"
"1","360","640","0.31","-0.03"
"1","360","592","0.16","-0.06"
"1","320","522","0.88","0.46"
"1","320","534","0.53","0.94"
"1","360","640","0.46","0.70"
"1","360","640","0.54","0.39"
"1","360","640","0.47","0.65"
"1","360","640","0.57","0.73"
"1","320","534","0.70","0.69"
"1","360","592","0.47","0.55"
"1","360","592","0.94","-0.10"
"","","","",""
"1","360","592","0.97","-0.08"
"1","320","534","0.98","0.64"
"1","320","533","0.51","0.85"
"1","360","592","0.15","0.16"
"1","320","522","0.36","0.39"
"1","360","640","0.58","0.71"
"1","360","640","0.13","-0.09"
"1","600","1024","-0.06","1.41"
"1","360","540","0.22","0.95"
"1","640","335","1.49","0.22"
"1","360","640","0.39","0.49"
"1","360","640","0.43","0.50"
"1","320","480","0.68","0.72"
"1","320","534","0.49","0.67"
"1","360","640","0.47","1.10"
"1","532","534","0.97","0.59"
"1","600","1024","0.44","0.45"
"1","360","640","0.84","0.73"
"1","360","640","0.48","0.67"
"1","360","640","0.54","0.74"
"1","360","640","0.03","1.09"
"1","320","522","0.39","0.84"
"1","320","533","0.88","-0.02"
"1","360","592","0.87","0.19"
"1","480","806","0.26","0.60"
"1","360","592","0.51","0.76"
"1","320","522","0.59","0.59"
"1","360","640","0.51","0.75"
"1","360","640","0.15","0.73"
"1","320","533","0.51","0.55"
"1","360","592","0.12","0.59"
"1","360","592","0.61","0.39"
"1","360","640","0.56","0.71"
"1","320","480","0.50","0.10"
"1","360","592","0.76","0.01"
"1","320","534","0.47","-0.01"
"1","320","480","0.73","0.61"
"1","320","427","0.39","0.72"
"1","360","640","0.55","0.73"
"1","320","508","0.95","0.04"
"1","360","540","0.78","0.89"
"1","360","540","0.84","0.76"
"1","360","640","0.58","0.74"
"1","360","640","1.02","-0.07"
"1","320","534","0.97","0.93"
"1","320","533","0.58","0.81"
"1","360","640","0.11","-0.14"
"1","360","540","0.73","0.77"
"1","320","570","0.58","0.71"
"1","320","534","0.34","0.09"
"1","360","640","0.30","0.00"
"1","320","480","0.51","0.68"
"1","360","640","0.54","0.32"
"1","600","976","-0.08","-0.05"
"1","640","1019","0.78","1.34"
"1","320","533","0.45","0.76"
"1","600","976","0.23","0.53"
"1","360","616","0.76","0.14"
"1","360","640","1.02","-0.10"
"1","360","540","0.28","0.91"
"1","360","567","0.03","-0.03"
"1","600","976","0.66","1.15"
"1","320","534","0.93","0.16"
"1","320","427","0.52","0.66"
"1","360","640","0.50","1.02"
"1","360","640","0.76","1.01"
"1","320","480","0.22","0.95"
"1","600","1024","0.31","0.85"
"1","360","640","0.33","0.92"
"1","320","570","0.89","-0.06"
"1","360","640","0.52","0.74"
"","","","",""
"1","360","640","0.79","0.68"
"1","360","640","0.55","1.05"
"1","360","592","0.57","0.51"
"1","360","640","0.67","0.81"
"1","360","640","0.16","-0.07"
"1","360","640","0.40","0.46"
"1","360","640","-0.01","0.63"
"1","320","480","0.20","0.54"
"1","600","1024","0.49","0.97"
"1","360","640","0.65","0.64"
"1","360","640","1.00","-0.07"
"1","360","592","0.20","0.95"
"1","600","1024","0.21","0.57"
"1","320","533","0.07","0.11"
"1","320","534","0.93","0.97"
"1","320","534","0.65","0.89"
"1","360","640","0.28","1.05"
"1","360","640","0.20","1.03"
"1","320","533","0.61","0.46"
"1","360","592","0.51","0.56"
"1","360","640","0.54","0.63"
"1","360","640","0.23","0.28"
"1","360","567","0.99","0.91"
"1","564","480","0.52","0.96"
"1","360","640","0.56","0.65"
"1","360","640","0.23","0.02"
"1","800","1280","0.14","1.06"
"1","360","640","0.29","0.13"
"1","360","640","1.01","-0.14"
"1","360","640","0.39","0.82"
"1","360","640","-0.02","0.85"
"1","320","533","0.04","0.85"
"1","600","1024","0.59","0.46"
"1","320","480","0.69","0.60"
"1","320","480","0.93","0.02"
"1","320","534","0.96","0.02"
"1","360","592","0.75","0.73"
"1","320","522","0.43","0.14"
"1","320","533","0.96","0.16"
"1","360","592","0.58","0.57"
"1","360","640","0.34","0.38"
"1","360","592","-0.04","-0.11"
"1","320","533","0.18","0.95"
"1","800","1232","1.71","-0.70"
"1","320","522","0.76","0.73"
"1","360","540","0.39","0.99"
"1","320","534","0.42","0.96"
"1","533","295","1.29","0.26"
"1","360","594","0.64","0.78"
"1","320","480","0.30","0.74"
"1","320","534","0.67","0.83"
"1","360","640","0.11","0.04"
"1","360","568","1.06","-0.03"
"","","","",""
"1","320","522","0.97","0.77"
"1","360","640","0.69","0.30"
"1","360","640","0.33","0.09"
"1","320","401","0.60","0.10"
"1","360","640","0.55","0.95"
"1","600","976","0.02","1.41"
"1","320","480","0.89","0.72"
"1","360","592","0.52","1.12"
"1","601","914","0.83","0.84"
"1","360","640","0.51","0.84"
"1","360","640","-0.04","0.35"
"1","800","1280","-0.02","0.90"
"1","320","533","0.02","1.00"
"1","360","592","0.28","0.07"
"1","360","640","0.38","0.02"
"1","320","480","0.95","0.72"
"1","360","640","0.05","1.02"
"1","360","640","0.59","0.75"
"1","600","1024","0.21","0.20"
"1","601","962","-0.03","1.24"
"1","360","640","-0.03","0.73"
"1","360","640","0.83","0.19"
"1","360","640","0.12","0.11"
"1","320","480","0.06","0.62"
"1","360","615","0.89","1.13"
"1","360","592","0.69","0.57"
"1","360","640","0.65","0.82"
"1","360","640","0.71","0.52"
"1","768","1024","0.43","1.14"
"","","","",""
"1","360","615","0.61","0.46"
"1","320","480","0.79","0.83"
"1","360","640","-0.01","-0.02"
"1","320","508","0.93","0.85"
"","","","",""
"1","320","570","0.57","0.82"
"1","320","534","0.04","0.24"
"1","360","592","0.52","0.97"
"1","360","640","0.59","1.06"
"1","592","336","1.34","0.20"
"1","320","533","0.62","0.60"
"1","360","592","0.55","0.38"
"1","320","480","0.72","0.44"
"1","360","640","0.26","0.25"
"1","320","534","0.06","0.79"
"1","360","592","0.12","0.09"
"1","320","480","0.97","0.05"
"1","320","480","0.02","0.72"
"1","360","640","0.64","0.77"
"1","600","1024","0.56","0.79"
"1","320","534","0.22","0.54"
"1","240","360","0.69","0.48"
"1","360","640","1.00","-0.08"
"","","","",""
"1","360","640","0.95","-0.04"
"1","600","1024","1.24","-0.47"
"1","360","592","0.34","1.00"
"","","","",""
"1","320","534","0.59","0.65"
"1","600","976","1.42","-0.50"
"1","320","524","0.04","0.78"
"1","320","569","0.89","0.24"
"1","320","570","0.97","-0.04"
"1","360","640","0.33","1.07"
"1","360","640","0.91","0.63"
"1","320","533","0.23","0.34"
"1","320","534","0.03","0.65"
"1","360","640","1.02","-0.08"
"1","360","640","0.31","0.16"
"1","320","534","0.70","0.56"
"1","360","592","0.38","0.93"
"1","360","640","0.45","0.88"
"1","360","592","0.27","0.02"
"1","360","640","0.27","0.02"
"1","320","480","0.00","0.00"
"1","360","592","0.70","0.85"
"1","360","640","0.15","-0.12"
"1","360","640","0.47","0.45"
"1","320","522","0.34","0.10"
"1","320","427","0.80","0.71"
"1","360","640","0.28","0.61"
"1","320","533","0.90","0.33"
"1","800","1280","0.17","0.73"
"1","360","640","1.06","0.11"
"1","320","533","0.50","0.23"
"1","360","640","0.77","1.11"
"1","360","640","0.54","1.04"
"1","360","616","-0.05","0.54"
"1","360","592","0.29","0.05"
"1","320","480","0.97","0.94"
"1","320","427","0.27","0.17"
"1","360","592","0.55","0.78"
"1","600","976","-0.42","0.38"
"1","360","592","0.02","0.78"
"1","320","534","0.75","0.66"
"1","600","1024","0.30","0.55"
"1","360","592","0.94","-0.06"
"1","360","592","0.05","0.07"
"1","360","568","0.44","0.11"
"1","320","534","0.29","0.25"
"","","","",""
"1","600","1024","0.03","-0.50"
"","","","",""
"1","320","522","0.58","0.56"
"1","360","640","0.14","0.53"
"1","320","480","0.66","0.14"
"1","360","640","0.07","-0.06"
"1","320","508","0.77","0.99"
"1","360","640","0.60","0.93"
"","","","",""
"1","533","295","0.48","0.49"
"","","","",""
"","","","",""
"1","360","592","0.90","-0.07"
"1","534","296","0.87","0.70"
"1","360","540","1.00","0.34"
"1","360","592","0.33","0.88"
"1","600","1024","0.42","1.00"
"1","320","533","0.48","0.22"
"1","360","592","0.82","0.95"
"1","320","533","0.20","0.04"
"1","360","592","0.40","0.01"
"1","360","640","-0.02","0.53"
"1","320","496","1.00","0.02"
"1","360","592","0.10","0.13"
"1","320","480","0.06","0.01"
"1","320","534","0.42","0.14"
"1","320","534","0.17","0.26"
"1","360","640","0.57","0.36"
"1","360","592","0.29","1.08"
"1","360","540","1.04","0.89"
"1","600","1024","0.87","-0.28"
"1","360","640","0.92","0.89"
"1","534","295","1.06","0.41"
"1","598","336","0.60","0.30"
"1","360","640","0.04","0.30"
"1","360","640","-0.02","-0.01"
"1","320","427","0.09","0.55"
"1","320","570","0.79","-0.02"
"1","320","480","0.96","0.83"
"1","320","480","0.73","0.71"
"1","320","533","0.40","0.72"
"1","320","533","0.53","0.95"
"1","360","640","0.45","0.84"
"","","","",""
"1","360","592","0.54","0.73"
"1","360","540","0.51","0.92"
"1","360","592","0.70","0.82"
"1","360","592","0.88","0.60"
"1","320","480","0.29","0.86"
"","","","",""
"1","360","640","0.42","1.14"
"1","320","534","0.73","0.22"
"1","360","640","0.46","0.78"
"1","360","615","1.01","-0.07"
"1","360","640","0.58","0.70"
"1","320","533","0.55","0.63"
"1","320","522","0.64","0.55"
"1","360","616","0.91","0.95"
"1","360","592","0.16","-0.03"
"1","360","640","0.50","0.75"
"","","","",""
"1","360","640","0.96","0.40"
"1","320","522","0.49","0.71"
"1","598","335","1.34","0.17"
"1","320","521","0.89","-0.03"
"1","320","427","0.50","0.08"
"1","360","594","0.55","0.71"
"1","360","640","0.45","1.11"
"1","320","533","0.02","0.03"
"1","320","534","0.16","0.22"
"1","360","616","0.48","1.09"
"1","360","640","0.10","1.06"
"1","360","592","1.06","0.34"
"1","360","640","0.33","0.01"
"1","320","533","0.40","0.08"
"1","360","640","0.50","0.69"
"1","320","480","0.46","0.69"
"1","360","640","0.47","1.06"
"1","360","640","-0.02","1.08"
"1","320","534","0.59","0.88"
"1","360","640","0.24","0.97"
"1","360","640","0.77","0.84"
"1","360","640","0.44","0.94"
"1","320","534","0.06","0.86"
"1","320","534","0.24","0.17"
"1","320","480","0.48","0.57"
"1","360","592","0.21","0.33"
"1","320","480","0.85","0.60"
"1","360","640","0.57","0.90"
"1","320","480","0.45","0.64"
"1","600","1024","0.70","1.40"
"1","360","592","0.51","0.50"
"1","600","976","0.57","1.18"
"1","640","1019","1.46","0.02"
"1","360","640","0.65","0.94"
"","","","",""
"1","360","540","0.35","0.60"
"1","360","640","0.99","-0.09"
"1","320","480","0.97","0.04"
"","","","",""
"1","320","240","0.63","0.62"
"1","360","540","1.00","-0.02"
"1","360","592","1.03","-0.03"
"1","360","640","0.17","0.92"
"1","360","592","0.11","0.86"
"1","320","533","0.39","0.58"
"1","360","594","0.82","0.55"
"1","360","592","0.12","1.11"
"1","320","534","0.21","0.00"
"1","360","592","0.63","0.94"
"1","360","640","0.54","0.74"
"1","360","640","0.10","1.12"
"1","320","480","0.34","0.69"
"1","320","534","0.44","0.09"
"1","534","596","1.33","-0.10"
"1","320","570","0.55","0.64"
"1","320","534","0.24","0.34"
"1","600","1024","0.84","0.51"
"1","320","522","0.42","0.10"
"1","320","480","0.24","0.07"
"1","360","640","0.28","-0.00"
"1","360","640","0.56","0.70"
"1","320","533","0.44","0.52"
"1","320","480","0.85","1.00"
"1","320","522","0.63","0.66"
"1","768","1024","0.89","-0.52"
"1","360","640","0.49","0.70"
"1","480","752","0.43","1.02"
"1","360","640","0.51","0.83"
"1","600","1024","-0.13","-0.53"
"1","360","640","0.83","0.49"
"1","600","900","1.30","0.24"
"1","600","1024","0.63","-0.47"
"1","320","534","0.17","0.02"
"1","320","533","0.93","0.01"
"1","360","640","0.59","0.61"
"1","360","640","0.31","0.59"
"1","360","640","0.26","0.78"
"","","","",""
"1","600","1024","0.49","0.21"
"1","320","534","0.22","0.57"
"1","360","640","0.17","0.36"
"1","320","533","0.79","0.61"
"1","320","480","0.09","0.06"
"1","360","640","0.25","0.05"
"1","320","533","0.42","0.13"
"1","360","640","1.00","-0.10"
"1","320","480","0.48","0.13"
"1","320","427","0.45","0.48"
"1","360","592","0.42","0.60"
"1","320","480","0.07","0.06"
"1","360","592","0.22","0.01"
"1","320","534","0.50","0.14"
"1","360","640","0.00","-0.04"
"1","320","534","0.20","0.03"
"1","600","1024","0.19","1.48"
"1","360","592","0.35","0.68"
"1","360","640","1.02","-0.11"
"1","360","592","0.36","0.89"
"1","600","976","0.97","1.35"
"1","598","336","0.65","0.40"
"1","320","508","0.72","0.01"
"1","600","1024","0.57","1.01"
"1","524","295","0.71","0.56"
"1","320","533","0.53","0.93"
"1","360","640","0.12","-0.07"
"1","360","592","0.16","0.34"
"1","600","1024","0.92","0.79"
"","","","",""
"1","360","640","0.93","1.02"
"1","360","568","0.06","0.69"
"1","360","592","0.57","0.74"
"1","360","640","0.56","0.56"
"1","320","427","0.69","0.66"
"1","360","640","0.63","0.69"
"1","320","534","0.62","0.69"
"1","360","640","0.28","0.01"
"1","360","640","1.02","-0.10"
"1","360","640","0.56","0.88"
"1","548","464","1.28","0.08"
"1","600","976","1.44","1.15"
"1","360","592","0.99","-0.06"
"1","360","640","0.58","0.70"
"1","360","640","0.62","0.59"
"1","600","900","0.73","1.27"
"1","320","427","0.63","0.74"
"1","360","640","0.95","-0.08"
"1","360","592","0.02","0.71"
"1","360","592","0.56","0.74"
"1","320","480","0.81","0.06"
"1","360","592","0.78","0.75"
"1","480","600","1.10","-0.09"
"1","320","533","0.94","0.25"
"1","600","1024","-0.33","0.70"
"1","320","480","0.76","0.65"
"1","320","480","0.73","0.87"
"1","360","640","0.34","1.06"
"1","480","600","0.89","-0.07"
"1","360","640","0.30","0.04"
"1","360","640","0.24","0.95"
"1","360","540","0.03","0.85"
"1","320","533","0.34","0.25"
"1","360","592","0.14","1.11"
"1","213","320","0.54","0.32"
"1","360","592","0.38","0.86"
"1","360","640","0.94","0.11"
"1","320","534","0.32","0.59"
"1","360","640","0.57","0.77"
"1","360","592","0.51","1.04"
"1","600","900","-0.25","-0.29"
"1","360","640","0.32","0.07"
"1","800","1232","-0.23","0.35"
"1","360","540","1.00","-0.05"
"1","320","533","0.10","0.97"
"1","360","592","1.00","0.02"
"1","360","640","-0.02","0.44"
"1","360","640","0.74","0.80"
"1","360","640","0.38","0.53"
"1","360","592","0.55","0.87"
"1","800","1280","0.47","0.63"
"1","320","534","0.42","1.00"
"1","360","592","-0.03","0.90"
"1","320","480","0.93","0.00"
"1","360","640","0.28","0.52"
"1","598","336","0.57","0.48"
"1","320","534","0.53","0.70"
"1","320","534","0.54","0.63"
"1","320","480","0.44","0.41"
"1","212","320","0.53","0.19"
"1","601","962","-0.07","0.77"
"1","360","597","0.57","0.73"
"1","320","533","0.80","0.85"
"1","360","640","0.59","0.72"
"1","320","533","0.89","0.27"
"1","360","640","0.43","1.11"
"1","600","1024","0.84","1.28"
"1","320","480","0.62","0.51"
"1","360","592","0.56","0.46"
"1","600","976","-0.16","-0.35"
"1","320","570","0.33","0.04"
"1","360","592","0.27","0.01"
"1","320","534","0.63","0.23"
"1","600","1024","1.04","-0.35"
"1","360","592","0.47","0.33"
"1","601","962","0.64","0.86"
"1","360","592","0.72","0.65"
"1","320","480","0.72","0.58"
"1","360","592","0.29","0.02"
"1","360","592","0.64","0.80"
"1","360","640","0.41","0.90"
"1","360","592","0.65","0.24"
"1","320","570","0.30","0.02"
"1","800","1280","1.53","-0.76"
"1","320","534","0.33","0.11"
"1","360","640","0.63","0.23"
"1","320","427","0.56","0.68"
"1","320","534","0.03","0.85"
"1","320","533","0.58","0.42"
"1","240","360","0.82","0.49"
"1","360","592","0.40","0.97"
"1","320","533","0.51","0.62"
"1","320","534","0.38","0.11"
"1","320","534","0.94","1.02"
"1","360","640","0.34","-0.01"
"1","320","534","0.91","0.82"
"1","600","976","-0.13","1.46"
"1","320","522","0.42","0.81"
"1","360","592","0.72","0.36"
"1","320","534","0.83","-0.04"
"1","320","480","0.63","0.44"
"1","320","534","0.19","0.44"
"1","800","1200","1.30","-0.04"
"1","360","592","0.02","0.19"
"1","400","600","0.60","0.45"
"1","600","1024","-0.05","1.38"
"1","320","508","0.44","0.16"
"1","640","1019","1.44","-0.50"
"1","360","640","0.51","0.68"
"1","600","900","1.41","-0.36"
"1","320","570","0.25","0.93"
"1","601","911","0.52","0.36"
"1","320","534","0.33","0.94"
"1","360","640","0.66","0.29"
"1","360","592","0.20","1.08"
"1","600","976","0.88","0.88"
"1","360","640","0.25","1.08"
"1","320","480","0.58","0.64"
"1","600","1024","0.03","-0.13"
"1","320","534","0.47","0.65"
"1","1024","552","1.43","1.05"
"1","360","540","0.88","1.00"
"1","600","1024","0.64","0.82"
"1","360","592","0.61","0.76"
"1","320","533","0.45","0.80"
"1","598","335","1.02","0.76"
"1","360","640","0.21","-0.11"
"1","320","427","0.89","0.12"
"1","360","592","0.56","0.67"
"1","360","640","0.17","0.38"
"1","360","592","0.70","0.12"
"1","320","534","0.86","0.31"
"1","360","592","0.35","0.60"
"1","360","592","0.58","0.62"
"1","600","1024","0.74","-0.05"
"1","320","570","0.02","0.39"
"1","320","522","0.50","0.77"
"1","320","534","0.48","0.72"
"1","320","533","0.53","0.24"
"1","360","592","0.21","0.80"
"1","600","1024","1.01","0.77"
"1","360","640","0.51","-0.13"
"1","600","1024","0.04","0.19"
"1","320","533","0.56","-0.05"
"1","360","592","0.01","0.77"
"1","360","592","0.28","0.52"
"1","360","640","-0.03","-0.11"
"1","320","522","0.38","0.71"
"1","360","640","0.31","-0.01"
"1","320","534","0.44","0.86"
"1","320","570","0.51","0.54"
"1","360","594","0.37","0.92"
"1","640","1019","1.46","-0.42"
"1","320","534","0.39","0.86"
"1","360","640","0.43","0.39"
"1","360","640","0.43","0.33"
"1","360","640","0.36","0.85"
"1","320","480","0.10","0.51"
"1","600","1024","-0.43","1.01"
"1","320","521","0.60","0.25"
"1","360","640","0.72","0.54"
"1","360","592","0.68","0.58"
"1","360","592","0.16","0.72"
"1","360","640","0.57","0.77"
"1","320","480","0.83","0.13"
"1","320","534","0.67","0.78"
"1","360","640","1.01","1.14"
"1","320","533","0.30","0.95"
"1","360","592","0.33","0.61"
"","","","",""
"1","320","534","0.45","0.69"
"1","360","592","0.69","0.96"
"1","320","533","0.51","0.88"
"1","800","1280","-0.38","-0.36"
"1","320","534","0.39","0.49"
"1","360","640","0.13","0.56"
"1","360","640","0.66","0.42"
"1","320","533","0.26","0.39"
"1","320","534","0.20","0.08"
"1","320","534","0.79","0.05"
"1","320","533","0.57","0.73"
"1","360","640","0.17","1.03"
"1","360","640","0.82","0.41"
"1","360","640","0.01","-0.14"
"1","320","534","0.79","0.43"
"1","320","534","0.32","0.56"
"1","320","533","0.19","0.95"
"1","360","640","0.48","0.70"
"1","600","976","0.68","0.02"
"1","480","752","0.90","0.88"
"1","600","1024","-0.23","0.18"
"1","360","592","0.53","0.77"
"1","320","480","0.35","0.19"
"1","360","640","0.50","0.81"
"1","320","522","0.51","1.02"
"1","600","1024","-0.01","1.38"
"1","320","534","0.15","-0.05"
"1","320","533","0.86","0.33"
"1","212","320","0.24","0.33"
"1","601","962","0.32","0.99"
"1","360","592","0.56","0.35"
"1","240","360","0.30","0.83"
"1","320","522","0.64","0.57"
"1","360","592","0.59","0.74"
"1","320","533","0.30","0.22"
"1","320","534","0.16","0.04"
"1","320","533","0.39","1.00"
"1","320","480","0.49","0.70"
"1","320","533","0.27","0.84"
"1","598","335","0.83","0.47"
"","","","",""
"1","360","640","0.54","0.93"
"1","320","570","0.43","0.70"
