"executed","deviceWidth","deviceHeight","touchX","touchY"
"1","300","250","0.41","0.42"
"1","300","250","0.08","0.91"
"1","300","250","0.84","0.07"
"1","300","250","0.02","0.02"
"1","300","250","0.01","0.13"
"1","300","250","0.19","0.46"
"1","300","250","0.05","0.84"
"1","300","250","0.11","0.67"
"1","300","250","0.10","0.64"
"1","300","250","0.15","0.66"
"1","300","250","0.01","0.96"
"1","300","250","0.72","0.46"
"1","300","250","0.10","0.45"
"1","300","250","0.36","0.81"
"1","300","250","0.13","0.11"
"1","300","250","0.03","0.06"
"1","300","250","0.06","0.41"
"1","300","250","0.80","0.10"
"1","300","250","0.97","0.89"
"1","300","250","0.23","0.18"
"1","300","250","0.27","0.43"
"1","300","250","0.03","0.05"
"1","300","250","0.48","0.61"
"1","300","250","0.18","0.81"
"1","300","250","0.02","0.03"
"1","300","250","0.03","0.64"
"1","300","250","0.02","0.03"
"1","300","250","0.03","0.05"
"1","300","250","0.03","0.05"
"1","300","250","0.01","0.13"
"1","300","250","0.57","0.54"
"1","300","250","0.10","0.44"
"1","300","250","0.52","0.98"
"1","300","250","0.21","0.77"
"1","300","250","0.23","0.53"
"1","300","250","0.20","0.17"
"1","300","250","0.12","0.55"
"1","300","250","0.04","0.41"
"1","300","250","0.12","0.27"
"1","300","250","0.26","0.76"
"1","300","250","0.15","0.03"
"1","300","250","0.04","0.66"
"1","300","250","0.12","0.27"
"1","300","250","0.07","0.20"
"1","300","250","0.07","0.20"
"1","300","250","0.01","0.13"
"1","300","250","0.07","0.20"
"1","300","250","0.15","0.76"
"1","300","250","0.07","0.20"
"1","300","250","0.23","0.56"
"1","300","250","0.19","0.26"
"1","300","250","0.07","0.20"
"1","300","250","0.21","0.97"
"1","300","250","0.07","0.20"
"1","300","250","0.07","0.20"
"1","300","250","0.08","0.19"
"1","300","250","0.81","0.75"
"1","300","250","0.29","0.95"
"1","300","250","0.05","0.66"
"1","300","250","0.09","0.59"
"1","300","250","0.03","0.05"
"1","300","250","0.04","0.38"
"1","300","250","0.29","0.94"
"1","300","250","0.20","0.76"
"1","300","250","0.02","0.03"
"1","300","250","0.19","0.27"
"1","300","250","0.36","0.69"
"1","300","250","0.50","0.30"
"1","300","250","0.10","0.22"
"1","300","250","0.29","0.65"
"1","300","250","0.14","0.46"
"1","300","250","0.07","0.20"
"1","300","250","0.03","0.05"
"1","300","250","0.09","0.18"
"1","300","250","0.16","0.03"
"1","300","250","0.01","0.21"
"1","300","250","0.89","0.49"
"1","300","250","0.50","0.24"
"1","300","250","0.10","0.60"
"1","300","250","0.55","0.54"
"1","300","250","0.41","0.94"
"1","300","251","0.05","0.32"
"1","300","250","0.13","0.20"
"1","300","250","0.01","0.13"
"1","300","250","0.61","0.60"
"1","300","250","0.09","0.79"
"1","300","250","0.03","0.05"
"1","300","250","0.24","0.26"
"1","300","250","0.17","0.42"
"1","300","250","0.27","0.42"
"1","300","250","0.28","0.64"
"1","300","250","0.26","0.01"
"1","300","250","0.17","0.54"
"1","300","250","0.40","0.73"
"1","300","250","0.07","0.89"
"1","300","250","0.03","0.05"
"1","300","250","0.04","0.05"
"1","300","250","0.25","0.35"
"1","300","250","0.51","0.62"
"1","300","250","0.59","0.26"
"1","300","250","0.01","0.13"
"1","300","250","0.23","0.02"
"1","300","250","0.10","0.57"
"1","300","250","0.07","0.94"
"1","300","250","0.07","0.48"
"1","300","250","0.07","0.20"
"1","300","250","0.72","0.21"
"1","300","250","0.17","0.88"
"1","300","250","0.03","0.05"
"1","300","250","0.07","0.20"
"1","300","250","0.29","0.52"
"1","300","250","0.13","0.20"
"1","300","250","0.18","0.90"
"1","300","250","0.03","0.05"
"1","300","250","0.40","0.84"
"1","300","250","0.30","0.95"
"1","300","250","0.23","0.79"
"1","300","250","0.07","0.20"
"1","300","250","0.54","0.50"
"1","300","250","0.03","0.05"
"1","300","250","0.32","0.83"
"1","300","250","0.00","0.62"
"1","300","250","0.28","0.58"
"1","300","250","0.18","0.16"
"1","300","250","0.14","0.87"
"1","300","250","0.25","0.94"
"1","300","250","0.56","0.95"
"1","300","250","0.07","0.20"
"1","300","250","0.05","0.23"
"1","300","250","0.87","0.72"
"1","300","250","0.32","0.25"
"1","300","250","0.08","0.25"
"1","300","250","0.07","0.38"
"1","300","250","0.19","0.29"
"1","300","250","0.50","0.78"
"1","300","250","0.02","0.05"
"1","300","250","0.23","0.31"
"1","300","250","0.01","0.99"
"1","300","250","0.31","0.58"
"1","300","250","0.04","0.74"
"1","300","250","0.46","0.32"
"1","300","250","0.07","0.47"
"1","300","250","0.93","0.08"
"1","300","250","0.07","0.44"
"1","300","250","0.00","0.76"
"1","300","250","0.15","0.10"
"1","300","251","0.30","0.63"
"1","300","250","0.01","0.37"
"1","300","250","0.20","0.32"
"1","300","250","0.05","0.69"
"1","300","250","0.32","0.90"
"1","300","250","1.00","0.58"
"1","300","250","0.87","0.56"
"1","300","250","0.07","0.81"
"1","300","250","0.05","0.08"
"1","300","250","0.23","0.82"
"1","300","250","0.03","0.05"
"1","300","250","0.02","0.03"
"1","300","250","0.03","0.06"
"1","300","250","0.09","0.79"
"1","300","250","0.19","0.27"
"1","300","250","0.03","0.05"
"1","300","250","0.08","0.65"
"1","300","250","0.09","0.98"
"1","300","250","0.15","0.53"
"1","300","250","0.06","0.32"
"1","300","250","0.19","0.92"
"1","300","250","0.01","0.03"
"1","300","250","0.25","0.38"
"1","300","250","0.32","0.49"
"1","300","250","0.48","0.75"
"1","300","250","0.10","0.73"
"1","300","250","0.11","0.09"
"1","300","250","0.26","0.71"
"1","300","250","0.09","0.60"
"1","300","250","0.47","0.60"
"1","300","250","0.19","0.26"
"1","300","250","0.04","0.97"
"1","300","250","0.54","0.04"
"1","300","250","0.03","0.06"
"1","300","250","0.41","0.69"
"1","300","251","0.79","0.65"
"1","300","250","0.13","0.20"
"1","300","250","0.06","0.86"
"1","300","250","0.12","0.77"
"1","300","250","0.53","0.49"
"1","300","250","0.19","0.27"
"1","300","250","0.13","0.20"
"1","300","250","0.09","0.46"
"1","300","250","0.56","0.65"
"1","300","250","0.17","0.42"
"1","300","250","0.26","0.88"
"1","300","250","0.32","0.73"
"1","300","250","0.13","0.20"
"1","300","250","0.80","0.80"
"1","300","250","0.13","0.43"
"1","300","250","0.02","0.51"
"1","300","250","0.03","0.05"
"1","300","250","0.17","0.96"
"1","300","250","0.07","0.68"
"1","300","250","0.48","0.09"
"1","300","250","0.75","0.71"
"1","300","250","0.14","0.95"
"1","300","250","0.09","0.75"
"1","300","250","0.63","0.56"
"1","300","250","0.17","1.00"
"1","300","250","0.17","0.72"
"1","300","250","0.33","0.60"
"1","300","250","0.15","0.99"
"1","300","250","0.12","0.27"
"1","300","250","0.07","0.13"
"1","300","250","0.27","0.66"
"1","300","250","0.02","0.87"
"1","300","250","0.02","0.03"
"1","300","250","0.29","0.83"
"1","300","250","0.14","0.58"
"1","300","250","0.03","0.06"
"1","300","250","0.08","0.54"
"1","300","250","0.41","0.81"
"1","300","250","0.15","0.09"
"1","300","250","0.01","0.13"
"1","300","250","0.25","0.98"
"1","300","250","0.31","0.63"
"1","300","250","0.05","0.62"
"1","300","250","0.06","0.76"
"1","300","250","0.03","0.06"
"1","300","250","0.08","0.43"
"1","300","250","0.02","0.15"
"1","300","250","0.17","0.84"
"1","300","250","0.36","0.85"
"1","300","250","0.23","0.71"
"1","300","250","0.22","0.60"
"1","300","250","0.14","0.89"
"1","300","250","0.10","0.13"
"1","300","250","0.27","0.80"
"1","300","250","0.21","0.54"
"1","300","250","0.77","0.42"
"1","300","250","0.12","0.76"
"1","300","250","0.31","0.78"
"1","300","250","0.26","0.74"
"1","300","250","0.02","0.03"
"1","300","250","0.07","0.20"
"1","300","250","0.14","0.68"
"1","300","250","0.19","0.27"
"1","300","251","0.07","0.20"
"1","300","250","0.13","0.20"
"1","300","250","0.12","0.26"
"1","300","250","0.08","0.51"
"1","300","250","0.07","0.20"
"1","300","250","0.27","0.43"
"1","300","250","0.07","0.20"
"1","300","250","0.04","0.47"
"1","300","250","0.06","0.23"
"1","300","250","0.03","0.05"
"1","300","250","0.11","0.41"
"1","300","250","0.19","0.27"
"1","300","250","0.17","0.54"
"1","300","250","0.03","0.05"
"1","300","250","0.75","0.28"
"1","300","250","0.07","0.20"
"1","300","250","0.15","0.65"
"1","300","250","0.10","0.73"
"1","300","250","0.03","0.05"
"1","300","250","0.07","0.20"
"1","300","250","0.01","0.13"
"1","300","250","0.08","0.14"
"1","300","250","0.69","0.66"
"1","300","250","0.01","0.13"
"1","300","250","0.33","0.64"
"1","300","250","0.46","0.98"
"1","300","250","0.14","0.59"
"1","300","250","0.05","0.51"
"1","300","250","0.14","0.34"
"1","300","250","0.10","0.19"
"1","300","250","0.03","0.05"
"1","300","250","0.47","0.47"
"1","300","250","0.02","0.97"
"1","300","250","0.33","0.20"
"1","300","250","0.66","0.45"
"1","300","250","0.25","0.91"
"1","300","250","0.19","0.27"
"1","300","250","0.19","0.80"
"1","300","250","0.03","0.05"
"1","300","251","0.17","0.93"
"1","300","250","0.03","0.06"
"1","300","250","0.02","0.02"
"1","300","250","0.02","0.56"
"1","300","250","0.02","0.87"
"1","300","250","0.38","0.80"
"1","300","250","0.17","0.63"
"1","300","250","0.13","0.55"
"1","300","250","0.03","0.05"
"1","300","250","0.49","0.33"
"1","300","250","0.33","0.46"
"1","300","250","0.03","0.05"
"1","300","250","0.05","0.02"
"1","300","250","0.04","0.36"
"1","300","250","0.03","0.05"
"1","300","250","0.08","0.72"
"1","300","250","0.25","0.35"
"1","300","250","0.01","0.13"
"","","","",""
"1","300","250","0.19","0.27"
"1","300","250","0.03","0.05"
"1","300","250","0.03","0.05"
"1","300","250","0.12","0.68"
"1","300","250","0.51","0.31"
"1","300","250","0.03","0.21"
"1","300","250","0.03","0.05"
"1","300","250","0.13","0.20"
"1","300","250","0.09","0.38"
"1","300","250","0.02","0.65"
"1","300","250","0.07","0.20"
"1","300","250","0.07","0.20"
"1","300","250","0.33","0.73"
"1","300","250","0.03","0.05"
"1","300","250","0.18","0.38"
"1","300","250","0.04","0.58"
"1","300","250","0.50","0.32"
"1","300","250","0.74","0.92"
"1","300","250","0.22","0.73"
"1","300","250","0.01","0.13"
"1","300","250","0.12","0.27"
"1","300","250","0.07","0.68"
"1","300","250","0.08","0.91"
"1","300","250","0.96","0.66"
"1","300","250","0.03","0.05"
"1","300","250","0.95","0.66"
"1","300","250","0.34","0.71"
"1","300","250","0.25","0.28"
"1","300","250","0.33","0.20"
"1","300","250","0.13","0.56"
"1","300","250","0.03","0.39"
"1","300","250","0.07","0.39"
"1","300","250","0.03","0.05"
"1","300","250","0.42","0.41"
"1","300","250","0.03","0.05"
"1","300","250","0.01","0.13"
"1","300","250","0.03","0.05"
"1","300","250","0.01","0.13"
"1","300","250","0.26","0.02"
"1","300","250","0.75","0.30"
"1","300","250","0.02","0.05"
"1","300","250","0.13","0.20"
"1","300","250","0.06","0.79"
"1","300","250","0.12","0.69"
"1","300","250","0.01","0.13"
"1","300","250","0.16","0.83"
"1","300","250","0.22","0.73"
"1","300","250","0.93","0.12"
"1","300","250","0.09","0.01"
"1","300","250","0.07","0.20"
"1","300","250","0.03","0.05"
"1","300","250","0.12","0.90"
"1","300","250","0.44","0.85"
"1","300","250","0.03","0.05"
"1","300","250","0.03","0.05"
"1","300","250","0.29","0.46"
"1","300","250","0.04","0.91"
"1","300","250","0.07","0.20"
"1","300","250","0.23","0.65"
"1","300","250","0.07","0.20"
"1","300","250","0.02","0.67"
"1","300","250","0.09","0.65"
"1","300","250","0.27","0.64"
"1","300","250","0.68","0.73"
"1","300","250","0.06","0.90"
"1","300","250","0.03","0.18"
"1","300","250","0.13","0.52"
"1","300","250","0.02","0.52"
"1","300","250","0.26","0.84"
