"executed","deviceWidth","deviceHeight","touchX","touchY"
"1","360","56","0.98","0.10"
"1","360","56","0.69","0.95"
"1","320","50","0.94","0.52"
"1","320","50","0.76","0.10"
"1","320","50","0.82","0.62"
"1","320","50","0.11","0.10"
"1","320","50","0.07","0.10"
"1","320","50","0.91","0.16"
"1","320","50","0.93","0.99"
"1","320","50","0.28","0.10"
"1","320","50","0.76","0.64"
"1","320","50","0.67","0.98"
"1","320","50","0.23","0.84"
"1","320","50","0.02","0.92"
"1","320","50","0.14","0.06"
"1","360","56","0.30","0.96"
"1","320","50","0.87","0.01"
"1","346","54","0.04","-0.02"
"1","320","50","0.93","0.36"
"1","750","117","0.04","1.08"
"1","320","51","0.07","0.74"
"1","320","50","0.44","0.46"
"1","320","50","0.66","0.00"
"1","320","50","0.23","0.38"
"1","320","50","0.63","0.92"
"1","320","50","0.10","0.00"
"1","320","50","0.46","0.00"
"1","320","50","0.69","0.92"
"1","320","50","0.78","0.12"
"1","320","50","0.05","0.98"
"1","320","50","0.46","0.04"
"1","320","50","0.28","0.98"
"1","320","50","0.03","0.06"
"1","320","50","0.12","0.36"
"1","320","50","0.98","0.98"
"1","320","50","0.30","0.62"
"1","320","50","0.05","0.16"
"1","320","50","0.15","0.90"
"1","320","51","0.41","0.00"
"1","320","50","0.46","0.44"
"1","320","50","0.30","0.62"
"1","320","50","0.67","0.96"
"1","360","640","1.01","-4.88"
"1","320","51","0.18","0.90"
"1","320","50","0.75","0.72"
"1","320","50","0.07","0.62"
"1","320","50","0.09","0.10"
"1","320","50","0.34","0.50"
"1","320","50","0.68","0.78"
"1","320","50","0.08","0.00"
"1","320","50","0.63","0.00"
"1","320","50","0.39","0.22"
"1","320","50","0.90","0.02"
"1","320","50","0.46","0.82"
"1","313","49","0.68","0.90"
"1","320","50","0.25","0.12"
"1","320","51","0.13","0.96"
"","","","",""
"1","320","50","0.24","0.80"
"1","320","50","0.16","0.97"
"1","320","50","0.52","0.38"
"","","","",""
"1","320","50","0.20","0.53"
"1","320","50","0.02","0.80"
"1","320","50","0.81","0.02"
"1","320","51","0.71","0.42"
"1","320","50","0.96","0.50"
"1","320","50","0.82","0.96"
"1","320","50","0.25","0.99"
"1","320","50","0.99","0.41"
"1","320","50","0.95","0.52"
"1","320","50","0.15","0.00"
"1","320","50","0.45","0.28"
"1","320","50","0.45","0.20"
"","","","",""
"1","320","50","0.99","0.45"
"1","320","50","0.14","0.94"
"1","320","50","0.84","0.36"
"1","320","50","0.11","0.52"
"1","320","50","0.60","0.88"
"1","320","50","0.98","0.52"
"1","320","50","0.76","0.60"
"","","","",""
"1","320","50","0.90","0.14"
"1","320","50","0.02","0.36"
"1","320","50","0.62","0.90"
"1","320","50","0.53","0.04"
"","","","",""
"1","320","50","0.10","0.64"
"1","320","50","0.94","0.88"
"1","320","50","0.05","0.70"
"1","427","67","0.25","0.78"
"1","320","50","0.14","0.99"
"1","320","50","0.70","0.72"
"1","320","50","0.16","0.51"
"1","320","50","0.92","0.68"
"1","320","50","0.87","0.06"
"1","320","50","0.21","0.27"
"1","320","50","0.14","0.89"
"","","","",""
"1","320","51","0.23","0.84"
"1","320","50","0.09","0.81"
"1","320","50","0.63","0.25"
"1","320","50","0.05","0.98"
"1","320","50","0.48","0.08"
"","","","",""
"1","320","50","0.56","0.89"
"1","320","50","0.00","0.35"
"1","320","50","0.03","0.12"
"1","320","50","0.54","0.34"
"1","320","50","0.43","0.82"
"1","320","50","0.17","0.95"
"1","320","50","0.92","0.25"
"1","320","50","0.36","0.62"
"1","320","50","0.49","0.50"
"1","320","50","0.59","0.83"
"","","","",""
"1","320","50","0.44","0.26"
"1","320","50","0.87","0.80"
"1","320","50","0.86","0.93"
"1","320","50","0.59","0.43"
"","","","",""
"1","320","50","0.64","0.04"
"1","320","50","0.02","0.75"
