"deviceWidth","deviceHeight","touchX","touchY"
"320","50","0.6234","0.0999"
"161","50","0.7205","0.3200"
"320","50","0.4281","0.2000"
"320","50","0.7781","0.3800"
"320","51","0.8944","0.8308"
"320","50","0.8399","0.8668"
"320","50","0.8844","0.6000"
"320","50","0.9094","0.6400"
"320","50","0.8492","0.6429"
"320","50","0.0906","0.1400"
"320","50","0.0250","0.1400"
"320","50","0.5083","0.8933"
"321","50","0.0484","0.5423"
"320","50","0.5250","0.2105"
"320","50","0.0656","0.0800"
"320","50","0.1575","0.5680"
