"touchX","touchY","deviceWidth","deviceHeight"
"0.8297","0.2100","320","50"
"0.0219","0.4314","320","51"
"0.0308","0.7768","320","50"
"","","",""
"0.9531","0.0000","320","50"
"0.2453","0.5700","320","50"
"0.4406","0.9608","320","51"
"0.2786","0.9982","320","50"
"0.4617","0.2632","320","50"
"","","",""
"0.9361","0.5621","320","50"
"0.4406","0.1765","320","51"
"0.9375","0.2664","320","50"
"0.9781","0.3000","320","50"
"0.0125","0.4800","320","50"
"0.1838","0.8384","320","50"
"0.6453","0.0700","320","50"
"0.0017","0.1513","320","50"
"0.9750","0.9600","320","50"
"0.7969","0.0200","320","50"
"0.2638","0.6968","320","50"
"","","",""
"0.4781","0.0400","320","50"
"0.9250","0.0000","320","50"
"0.6987","0.5875","320","50"
"0.5883","0.3507","320","50"
"0.8812","0.3000","320","50"
"0.3213","0.6403","320","50"
"0.8812","0.8800","320","50"
"0.5680","0.0853","320","50"
"0.6033","0.2734","600","1024"
"0.5208","0.4867","320","50"
"0.2011","0.6006","320","50"
"0.2433","0.4812","320","50"
"0.0781","0.6200","320","50"
"0.9250","0.9600","320","50"
"0.3594","0.2400","320","50"
"0.0625","0.6600","320","50"
"","","",""
"0.8531","0.0196","320","51"
"0.0481","0.5970","320","50"
"0.4469","0.4000","320","50"
"","","",""
"0.9750","0.2353","320","51"
"0.2867","0.2549","320","50"
"0.9437","0.5400","320","50"
"0.3884","0.3530","320","50"
"0.9672","0.7700","320","50"
"0.0781","0.5600","320","50"
"","","",""
"0.1683","0.9501","320","50"
"0.9812","0.2400","320","50"
"0.1833","0.6267","320","50"
"","","",""
"0.0719","0.2800","320","50"
"0.5188","0.3600","320","50"
"0.4000","0.0400","320","50"
"0.8313","0.1569","320","51"
"0.9459","0.2974","320","50"
"0.9085","0.0037","320","50"
"0.4758","0.3113","320","50"
"0.8956","0.8010","320","50"
"0.4641","0.4900","320","50"
"0.4241","0.2542","320","50"
"0.8531","0.8000","320","50"
"0.9459","0.3640","320","50"
"0.2992","0.8669","320","50"
"0.7969","0.8800","320","50"
"0.9844","0.0400","320","50"
"0.9812","0.3600","320","50"
"0.7172","0.6163","320","50"
"0.3937","0.1000","320","50"
"0.3469","0.6800","640","50"
"0.9531","0.4200","320","50"
"0.6674","0.0533","320","50"
"0.0281","0.1600","320","50"
"0.4447","0.4892","320","50"
"0.6145","0.8646","320","50"
"0.8849","0.5300","320","50"
"0.9187","0.6600","320","50"
"0.6344","0.0800","320","50"
"","","",""
"0.9730","0.8269","320","50"
"0.9156","0.3137","320","51"
"0.3187","0.3922","320","51"
"0.9875","0.5000","320","50"
"0.5975","0.7133","320","50"
"0.1375","0.7200","320","50"
"0.9750","0.0196","320","51"
"0.8938","0.3800","320","50"
"0.5656","0.5800","320","50"
"0.9267","0.3430","320","50"
"","","",""
"0.8787","0.2051","320","50"
"0.0041","0.1643","320","50"
"0.0312","0.8502","320","50"
"0.5594","0.5600","320","50"
"0.7983","0.6836","320","50"
"0.3937","0.5400","320","50"
"0.9875","0.5490","320","51"
"0.0844","0.6200","320","50"
"0.9313","0.1400","320","50"
"0.2292","0.8424","320","50"
"0.4813","0.6000","320","50"
"0.6719","0.7200","320","50"
"0.5844","0.8800","320","50"
"0.0187","0.0000","320","50"
"0.1903","0.6003","320","50"
"0.5615","0.8219","320","50"
"0.1344","0.1400","320","50"
"0.0750","0.0000","320","51"
"0.9504","0.4929","320","50"
"0.9938","0.2400","320","50"
