"touchX","touchY","deviceWidth","deviceHeight"
"","","",""
"","","",""
"","","",""
"0.9750","0.1445","320","533"
"0.5017","0.4570","600","1024"
"","","",""
"","","",""
"","","",""
"0.4500","0.1288","320","427"
"0.4750","0.6875","360","640"
"","","",""
"0.9750","0.0950","360","540"
"","","",""
"","","",""
"0.2039","0.9697","360","592"
"0.8938","0.2959","320","490"
"","","",""
"0.8639","0.8094","360","640"
"","","",""
"0.9967","0.0289","600","900"
"","","",""
"0.5132","0.4540","360","592"
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"0.5194","0.9609","360","640"
"0.2940","0.6245","360","592"
"0.6111","0.9510","360","592"
"0.9889","0.9297","360","640"
"","","",""
"","","",""
"","","",""
"","","",""
"0.5970","0.4982","360","540"
"0.4449","0.5045","320","524"
"0.9719","0.0667","320","480"
"","","",""
"","","",""
"0.9694","0.0000","360","540"
"","","",""
"","","",""
"0.6311","0.0093","360","592"
"","","",""
"","","",""
"0.9694","0.0455","360","615"
"0.9986","0.0598","360","568"
"","","",""
"","","",""
"0.9056","0.0391","360","640"
"","","",""
"","","",""
"0.8796","0.9395","360","640"
"","","",""
"0.5800","0.4912","600","1024"
"","","",""
"","","",""
"","","",""
"","","",""
"0.3344","0.1386","320","534"
"0.3333","0.1281","360","640"
"","","",""
"0.4000","0.5666","320","533"
"","","",""
"0.3031","0.6750","320","480"
"0.5468","0.7858","320","522"
"","","",""
"","","",""
"","","",""
"0.3187","0.7073","320","533"
"","","",""
"","","",""
"","","",""
"","","",""
"0.8938","0.7640","320","534"
"0.2870","0.0510","360","640"
"0.9563","0.8427","320","534"
"0.2778","0.5031","360","640"
"0.1151","0.0156","360","640"
"0.9222","0.0484","360","640"
"0.9403","0.0789","360","640"
"","","",""
"0.0736","0.3118","480","806"
"0.8278","0.9859","360","640"
"0.0167","0.0068","600","1024"
"","","",""
"","","",""
"","","",""
"0.4817","0.7061","600","1024"
"0.7781","0.1429","320","427"
"0.3537","0.6565","360","640"
"","","",""
"","","",""
"0.8466","0.7110","360","592"
"","","",""
"","","",""
"","","",""
"0.1997","0.5680","360","592"
"","","",""
"","","",""
"","","",""
"","","",""
"0.1500","0.8984","360","640"
"","","",""
"","","",""
"","","",""
"","","",""
"0.4031","0.6773","320","533"
"","","",""
"","","",""
"0.4646","0.9438","360","640"
"","","",""
"","","",""
"","","",""
"0.8150","0.8445","320","544"
"","","",""
"","","",""
"0.9156","0.2272","320","427"
"0.5007","0.6591","360","592"
"","","",""
"0.9727","0.8317","600","976"
"0.4625","0.3745","320","534"
"","","",""
"0.5528","0.6031","360","640"
"","","",""
"","","",""
"0.2344","0.5197","320","533"
"0.9694","0.0172","360","640"
"0.2407","0.8479","360","640"
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"0.5875","0.6792","320","480"
"","","",""
"","","",""
"0.9335","0.3306","320","570"
"0.5467","0.4873","600","1024"
"0.2722","0.6219","360","640"
"","","",""
"0.4000","0.3125","360","592"
"","","",""
"","","",""
"0.9094","0.0491","640","1019"
"","","",""
"0.5342","0.3071","360","592"
"0.3250","0.8290","320","427"
"0.8287","0.7479","360","640"
"0.9344","0.0619","320","533"
