"touchX","touchY","deviceWidth","deviceHeight"
"0.2233","0.9520","300","250"
"0.0533","0.8480","300","250"
"0.2667","0.1155","300","251"
"0.0622","0.7733","300","250"
"0.0250","0.0500","300","250"
"0.3000","0.7610","300","251"
"0.3067","0.6520","300","250"
"0.5717","0.1900","300","250"
"0.0250","0.0500","300","250"
"0.0167","0.0320","300","250"
"0.1200","0.8960","300","250"
"0.1222","0.2667","300","250"
"0.0897","0.8423","300","250"
"0.0111","0.1333","300","250"
"0.0465","0.5745","300","250"
"0.0864","0.9942","300","250"
"0.8644","0.6147","300","250"
"0.0333","0.0640","300","250"
"0.3960","0.9303","300","250"
"0.2467","0.9920","300","250"
"0.3577","0.6805","300","250"
"0.1114","0.5206","300","250"
"0.6822","0.7813","300","250"
"0.1219","0.1796","300","250"
"0.1889","0.2667","300","250"
"0.0315","0.7523","300","250"
"0.0576","0.3502","300","250"
"0.0250","0.0500","300","250"
"0.0221","0.5340","300","250"
"0.4333","0.0840","300","250"
"0.0333","0.0640","300","250"
"0.0167","0.0320","300","250"
"0.8200","0.7440","300","250"
"0.6704","0.4764","300","250"
"0.0032","0.5526","300","250"
"0.0167","0.0320","300","250"
"0.3300","0.6400","300","250"
"0.0731","0.0270","300","250"
"0.0167","0.0320","300","250"
"0.4576","0.0869","300","250"
"0.0433","0.6800","300","250"
"0.1198","0.2485","300","250"
"0.1133","0.6040","300","250"
"0.3200","0.9400","300","250"
"0.1896","0.5605","300","250"
"0.0333","0.0640","300","250"
"0.3527","0.4189","300","250"
"0.0267","0.5440","300","250"
"0.0383","0.4971","300","250"
"0.1889","0.2667","300","250"
"0.7961","0.5107","300","250"
"0.1500","0.5880","300","250"
"0.5867","0.8200","300","250"
"0.3211","0.7804","300","250"
"0.9017","0.8940","300","250"
"0.0511","0.7173","300","250"
"0.0250","0.0500","300","250"
"0.0233","0.6840","300","250"
"0.4276","0.8863","300","250"
"","","",""
"0.1222","0.2667","300","250"
"0.0667","0.2000","300","250"
"0.0348","0.6065","300","250"
"0.0333","0.0640","300","250"
"0.3333","0.2000","300","250"
"0.1650","0.9380","300","250"
"0.0250","0.0500","300","250"
"0.1596","0.8523","300","250"
"0.8870","0.0669","300","250"
"0.0111","0.1333","300","250"
"0.0333","0.0640","300","250"
"0.6257","0.0430","300","250"
"0.0333","0.0640","300","250"
"0.9552","0.0450","300","250"
"0.2196","0.5418","300","250"
"0.0767","0.1760","300","250"
"","","",""
"0.1704","0.7855","300","250"
"0.1167","0.3040","300","250"
"0.0167","0.0320","300","250"
"0.4333","0.6680","300","250"
"0.2796","0.8362","300","250"
"0.0678","0.5627","300","250"
"0.1267","0.2000","300","250"
"0.0250","0.0500","300","250"
"0.1000","0.9800","300","250"
"0.0167","0.0200","300","250"
"0.0066","0.2357","300","250"
"0.0200","0.0720","300","250"
"0.0533","0.6000","300","250"
"0.0250","0.0500","300","250"
"0.0465","0.0769","300","250"
"0.1330","0.9962","300","250"
"0.1567","0.7680","300","250"
"0.0667","0.5000","300","250"
"","","",""
"0.6383","0.6338","598","360"
"0.0833","0.6120","300","250"
"0.9619","0.7225","300","250"
"0.9995","0.6318","300","250"
"0.6340","0.0010","300","250"
"0.1397","0.5386","300","250"
"0.0250","0.0500","300","250"
"0.2267","0.6720","300","250"
"0.1363","0.3527","300","250"
"0.3083","0.9580","300","250"
"0.0333","0.5440","300","250"
"","","",""
"0.0533","0.3640","300","250"
"0.2250","0.3513","300","250"
"0.1746","0.6984","300","250"
"0.3667","0.8440","300","250"
"0.0448","0.9243","300","250"
